Date,Time,Off.Wrist.Status,Activity,Marker,White.Light,Red.Light,Green.Light,Blue.Light,Sleep.Wake,Interval.Status,newtime,day
10/20/21,9:10:00,0,20.75,0,0,0,0,0,0.333333333,NA,10/20/21 9:10,Weekday
10/20/21,9:20:00,0,126.4,0,0,0,0,0,0.8,NA,10/20/21 9:20,Weekday
10/20/21,9:30:00,0,474.2,0,98.692,19.2786,10.401,9.22,1,NA,10/20/21 9:30,Weekday
10/20/21,9:40:00,0,256.4,0,262.379,48.815,32.548,27.1909,1,NA,10/20/21 9:40,Weekday
10/20/21,9:50:00,0,143.8,0,4.893,2.5738,2.1888,1.468,1,NA,10/20/21 9:50,Weekday
10/20/21,10:00:00,0,143.1,0,54.498,10.7192,8.0159,6.451,1,NA,10/20/21 10:00,Weekday
10/20/21,10:10:00,0,298.5,0,15.712,8.9222,5.535,5.137,1,NA,10/20/21 10:10,Weekday
10/20/21,10:20:00,0,163,0,5.457,4.1706,2.769,2.3839,1,NA,10/20/21 10:20,Weekday
10/20/21,10:30:00,0,172.8,0,3.406,2.5582,1.703,1.09,1,NA,10/20/21 10:30,Weekday
10/20/21,10:40:00,0,94.2,0,0,0.4872,0.023,0,1,NA,10/20/21 10:40,Weekday
10/20/21,10:50:00,0,151,0,0.37,2.0464,1.731,1.5929,1,NA,10/20/21 10:50,Weekday
10/20/21,11:00:00,0,172.3,0,103.938,24.4602,19.183,14.217,1,NA,10/20/21 11:00,Weekday
10/20/21,11:10:00,0,122.7,0,317.681,11.28,8.279,6.542,1,NA,10/20/21 11:10,Weekday
10/20/21,11:20:00,0,210.7,0,8.78,4.9276,3.4599,2.44,1,NA,10/20/21 11:20,Weekday
10/20/21,11:30:00,0,373.6,0,70.168,11.4046,8.579,6.568,1,NA,10/20/21 11:30,Weekday
10/20/21,11:40:00,0,881.4,0,15.501,26.0872,17.261,6.9578,1,NA,10/20/21 11:40,Weekday
10/20/21,11:50:00,0,667.3,0,11.495,29.041,12.3209,6.8293,1,NA,10/20/21 11:50,Weekday
10/20/21,12:00:00,0,573.8,0,2.82,8.047,2.5222,1.60246,1,NA,10/20/21 12:00,Weekday
10/20/21,12:10:00,0,306.7,0,82.964,83.936,81.972,58.335,1,NA,10/20/21 12:10,Weekday
10/20/21,12:20:00,0,683.4,0,14.22,44.4016,11.8949,10.917,1,NA,10/20/21 12:20,Weekday
10/20/21,12:30:00,0,897,0,5.314,12.615,5.13883,3.00557,1,NA,10/20/21 12:30,Weekday
10/20/21,12:40:00,0,927.6,0,16.818,66.241,15.8228,5.812,1,NA,10/20/21 12:40,Weekday
10/20/21,12:50:00,0,645.6,0,15.441,32.5882,16.317,8.613,1,NA,10/20/21 12:50,Weekday
10/20/21,13:00:00,0,148,0,9.933,16.693,14.244,11.605,0.8,NA,10/20/21 13:00,Weekday
10/20/21,13:10:00,0,142.1,0,6.544,2.7718,2.57,1.6909,1,NA,10/20/21 13:10,Weekday
10/20/21,13:20:00,0,192.1,0,86.616,23.3058,13.9178,12.6465,0.9,NA,10/20/21 13:20,Weekday
10/20/21,13:30:00,0,298.8,0,2.75,5.4434,8.895,50.489,1,NA,10/20/21 13:30,Weekday
10/20/21,13:40:00,0,115.9,0,0,4.355,2.6469,48.763,1,NA,10/20/21 13:40,Weekday
10/20/21,13:50:00,0,240.3,0,0,3.4362,2.069,1.521,1,NA,10/20/21 13:50,Weekday
10/20/21,14:00:00,0,287.7,0,0,6.998,6.202,3.462,1,NA,10/20/21 14:00,Weekday
10/20/21,14:10:00,0,131.9,0,0,3.703,2.704,47.535,1,NA,10/20/21 14:10,Weekday
10/20/21,14:20:00,0,115.5,0,1.625,4.163,2.4049,2.204,1,NA,10/20/21 14:20,Weekday
10/20/21,14:30:00,0,103,0,0,3.027,2.3419,0.344,1,NA,10/20/21 14:30,Weekday
10/20/21,14:40:00,0,206.2,0,0.985,4.786,1.626,51.733,1,NA,10/20/21 14:40,Weekday
10/20/21,14:50:00,0,551.2,0,0,4.8532,3.23,49.709,1,NA,10/20/21 14:50,Weekday
10/20/21,15:00:00,0,361.4,0,0,4.878,2.142,0.561,1,NA,10/20/21 15:00,Weekday
10/20/21,15:10:00,0,216.7,0,0.069,2.117,0.0725,49.0225,0.9,NA,10/20/21 15:10,Weekday
10/20/21,15:20:00,0,711.4,0,16.494,41.1972,11.3959,6.25753,1,NA,10/20/21 15:20,Weekday
10/20/21,15:30:00,0,725.6,0,42.233,35.165,25.0889,17.956,1,NA,10/20/21 15:30,Weekday
10/20/21,15:40:00,0,846.8,0,114.462,41.463,31.4889,21.426,1,NA,10/20/21 15:40,Weekday
10/20/21,15:50:00,0,78.4,0,77.218,80.6992,50.06,38.5,1,NA,10/20/21 15:50,Weekday
10/20/21,16:00:00,0,50.2,0,39.11,33.49,21.05,16.635,0.5,NA,10/20/21 16:00,Weekday
10/20/21,16:10:00,0,82,0,9.594,13.284,9.59,7.32,0.5,NA,10/20/21 16:10,Weekday
10/20/21,16:20:00,0,115.4,0,21.956,18.368,12.52,9.199,0.6,NA,10/20/21 16:20,Weekday
10/20/21,16:30:00,0,12.6,0,4.366,4.6582,4.28,2.366,0.1,NA,10/20/21 16:30,Weekday
10/20/21,16:40:00,0,107.7,0,2.723,2.0906,1.474,0.71696,0.8,NA,10/20/21 16:40,Weekday
10/20/21,16:50:00,0,75.4,0,8.924,7.599,5.911,3.753,0.9,NA,10/20/21 16:50,Weekday
10/20/21,17:00:00,0,63.4,0,1.375,1.662,1.303,0.7629,0.5,NA,10/20/21 17:00,Weekday
10/20/21,17:10:00,0,8.8,0,1.412,2.462,1.669,0.8329,0.1,NA,10/20/21 17:10,Weekday
10/20/21,17:20:00,0,9.7,0,1.94,2.923,2.229,1.4053,0,NA,10/20/21 17:20,Weekday
10/20/21,17:30:00,0,8.9,0,1.414,2.579,1.618,0.946,0.1,NA,10/20/21 17:30,Weekday
10/20/21,17:40:00,0,10.2,0,1.395,1.3689,1.8849,0.7643,0.1,NA,10/20/21 17:40,Weekday
10/20/21,17:50:00,0,38.3,0,1.142,1.2938,2.0413,0.6706,0.6,NA,10/20/21 17:50,Weekday
10/20/21,18:00:00,0,34.8,0,2.501,0.813,1.3529,0.4582,0.5,NA,10/20/21 18:00,Weekday
10/20/21,18:10:00,0,15,0,0,0.0582,0,0,0.2,NA,10/20/21 18:10,Weekday
10/20/21,18:20:00,0,115.8,0,9.718,3.863,3.039,2.033,0.5,NA,10/20/21 18:20,Weekday
10/20/21,18:30:00,0,639,0,3.529,5.3768,4.263,2.9099,1,NA,10/20/21 18:30,Weekday
10/20/21,18:40:00,0,469,0,46.869,19.296,15.619,10.784,1,NA,10/20/21 18:40,Weekday
10/20/21,18:50:00,0,328.6,0,328.539,31.36,40.2,18.044,1,NA,10/20/21 18:50,Weekday
10/20/21,19:00:00,0,760.7,0,87.728,21.046,23.964,12.189,1,NA,10/20/21 19:00,Weekday
10/20/21,19:10:00,0,653.5,0,68.602,15.001,15.919,8.815,1,NA,10/20/21 19:10,Weekday
10/20/21,19:20:00,0,200.1,0,70.575,11.155,10.698,6.593,1,NA,10/20/21 19:20,Weekday
10/20/21,19:30:00,0,214.1,0,37.817,13.774,13.813,7.847,1,NA,10/20/21 19:30,Weekday
10/20/21,19:40:00,0,216.9,0,29.748,13,12.4,7.634,1,NA,10/20/21 19:40,Weekday
10/20/21,19:50:00,0,129.8,0,2.94,3.4526,3.0899,1.8986,0.9,NA,10/20/21 19:50,Weekday
10/20/21,20:00:00,0,332.4,0,13.04,7.8026,8.15,5.321,1,NA,10/20/21 20:00,Weekday
10/20/21,20:10:00,0,619.3,0,15.337,6.2312,6.1336,3.4029,1,NA,10/20/21 20:10,Weekday
10/20/21,20:20:00,0,305.7,0,5.535,6.6534,3.807,2.8416,1,NA,10/20/21 20:20,Weekday
10/20/21,20:30:00,0,140,0,0,0.1308,0,0,1,NA,10/20/21 20:30,Weekday
10/20/21,20:40:00,0,757,0,0.15,0.3718,0.2999,0.2507,1,NA,10/20/21 20:40,Weekday
10/20/21,20:50:00,0,483.4,0,0.022,0.189,0.023,0.00696,1,NA,10/20/21 20:50,Weekday
10/20/21,21:00:00,0,348.3,0,0.1,0.0964,0.12,0.0771,1,NA,10/20/21 21:00,Weekday
10/20/21,21:10:00,0,622.1,0,11.24,12.4992,9.366,7.0467,1,NA,10/20/21 21:10,Weekday
10/20/21,21:20:00,0,229.7,0,20.127,18.585,15.1515,11.5599,1,NA,10/20/21 21:20,Weekday
10/20/21,21:30:00,0,359.8,0,1.39,3.9072,1.1842,0.943,1,NA,10/20/21 21:30,Weekday
10/20/21,21:40:00,0,254,0,1.968,3.091,1.1957,0.7731,1,NA,10/20/21 21:40,Weekday
10/20/21,21:50:00,0,16.7,0,1.015,2.779,0.7804,0.5678,0.2,NA,10/20/21 21:50,Weekday
10/20/21,22:00:00,0,38.7,0,1.702,2.3302,0.74882,0.61939,0.8,NA,10/20/21 22:00,Weekday
10/20/21,22:10:00,0,131.1,0,7.002,24.064,5.4874,3.1555,0.9,NA,10/20/21 22:10,Weekday
10/20/21,22:20:00,0,394,0,5.326,22.0022,6.575,4.252,0.7,NA,10/20/21 22:20,Weekday
10/20/21,22:30:00,0,145.3,0,16.57,58.39,13.92,11.972,1,NA,10/20/21 22:30,Weekday
10/20/21,22:40:00,0,208,0,25.749,82.78,21.319,19.109,1,NA,10/20/21 22:40,Weekday
10/20/21,22:50:00,0,54.9,0,37.176,114.71,30.92,27.6,0.7,NA,10/20/21 22:50,Weekday
10/20/21,23:00:00,0,53.4,0,11.355,36.07,11.105,7.56,0.6,NA,10/20/21 23:00,Weekday
10/20/21,23:10:00,0,102.7,0,14.865,47.51,13.341,10.795,1,NA,10/20/21 23:10,Weekday
10/20/21,23:20:00,0,88.2,0,21.208,76.75,17.995,16.507,1,NA,10/20/21 23:20,Weekday
10/20/21,23:30:00,0,101,0,16.488,56.793,13.726,11.379,1,NA,10/20/21 23:30,Weekday
