Date,Time,Off.Wrist.Status,Activity,Marker,White.Light,Red.Light,Green.Light,Blue.Light,Sleep.Wake,Interval.Status,newtime,day
10/20/21,9:10:00,0,12,0,0,0.326,0.1206,0,0.25,NA,10/20/21 9:10,Weekday
10/20/21,9:20:00,0,125.7,0,0,0,0,0,0.7,NA,10/20/21 9:20,Weekday
10/20/21,9:30:00,0,192.3,0,0,1.808,1.666,2.424,0.6,NA,10/20/21 9:30,Weekday
10/20/21,9:40:00,0,241.6,0,192.863,79.61,62.05,51.93,1,NA,10/20/21 9:40,Weekday
10/20/21,9:50:00,0,96.9,0,601.582,33.573,26.485,24.595,1,NA,10/20/21 9:50,Weekday
10/20/21,10:00:00,0,141,0,42.824,21.45,17.146,16.756,1,NA,10/20/21 10:00,Weekday
10/20/21,10:10:00,0,136.4,0,45.801,24.063,19.44,18.7,1,NA,10/20/21 10:10,Weekday
10/20/21,10:20:00,0,79.8,0,56.816,28.92,22.78,21.96,1,NA,10/20/21 10:20,Weekday
10/20/21,10:30:00,0,138.7,0,40.166,21.391,17.556,16.861,1,NA,10/20/21 10:30,Weekday
10/20/21,10:40:00,0,50.2,0,49.252,26.306,21.999,20.98,0.6,NA,10/20/21 10:40,Weekday
10/20/21,10:50:00,0,86.1,0,47.681,23.49,19.52,18.57,0.8,NA,10/20/21 10:50,Weekday
10/20/21,11:00:00,0,53.3,0,26.545,11.935,10.492,9.874,0.8,NA,10/20/21 11:00,Weekday
10/20/21,11:10:00,0,44.6,0,36.85,26.879,24.826,20.327,0.8,NA,10/20/21 11:10,Weekday
10/20/21,11:20:00,0,122.9,0,20.337,14.814,11.994,11.367,0.8,NA,10/20/21 11:20,Weekday
10/20/21,11:30:00,0,120.5,0,18.048,13.315,9.804,9.407,1,NA,10/20/21 11:30,Weekday
10/20/21,11:40:00,0,170.7,0,46.209,27.15,21.108,19.571,0.9,NA,10/20/21 11:40,Weekday
10/20/21,11:50:00,0,558.2,0,360.573,512.147,338.287,223.686,1,NA,10/20/21 11:50,Weekday
10/20/21,12:00:00,0,269.4,0,606.275,601.89,699.26,510.58,1,NA,10/20/21 12:00,Weekday
10/20/21,12:10:00,0,413.5,0,1495.307,1930.308,1575.714,1045.852,1,NA,10/20/21 12:10,Weekday
10/20/21,12:20:00,0,279.3,0,4.646,3.915,1.7318,1.8026,1,NA,10/20/21 12:20,Weekday
10/20/21,12:30:00,0,178.6,0,1.232,13.1353,13.1479,7.501,1,NA,10/20/21 12:30,Weekday
10/20/21,12:40:00,0,154.7,0,0,11.6063,42.0189,9.987,0.5,NA,10/20/21 12:40,Weekday
10/20/21,12:50:00,0,20.5,0,0,17.337,138.235,12.993,0.3,NA,10/20/21 12:50,Weekday
10/20/21,13:00:00,0,28.9,0,0,13.94,22.54,10.629,0.3,NA,10/20/21 13:00,Weekday
10/20/21,13:10:00,0,50.7,0,1.958,3.551,1.18,2.2086,0.3,NA,10/20/21 13:10,Weekday
10/20/21,13:20:00,0,109.5,0,0.382,0.6364,0.423,0.51,0.8,NA,10/20/21 13:20,Weekday
10/20/21,13:30:00,0,5.7,0,0,0,0,0,0,NA,10/20/21 13:30,Weekday
10/20/21,13:40:00,0,9.3,0,0,0.0574,0,0,0,NA,10/20/21 13:40,Weekday
10/20/21,13:50:00,0,5.8,0,0,0.0653,0.0229,0,0.1,NA,10/20/21 13:50,Weekday
10/20/21,14:00:00,0,0.5,0,0,0,0,0,0,NA,10/20/21 14:00,Weekday
10/20/21,14:10:00,0,22.2,0,0,0,0,0,0.3,NA,10/20/21 14:10,Weekday
10/20/21,14:20:00,0,0,0,0,0,0,0,0,NA,10/20/21 14:20,Weekday
10/20/21,14:30:00,0,0,0,0,0,0,0,0,NA,10/20/21 14:30,Weekday
10/20/21,14:40:00,0,0,0,0,0,0,0,0,NA,10/20/21 14:40,Weekday
10/20/21,14:50:00,0,47.1,0,0,0,0,0,0.6,NA,10/20/21 14:50,Weekday
10/20/21,15:00:00,0,0,0,0,0,0,0,0,NA,10/20/21 15:00,Weekday
10/20/21,15:10:00,0,6,0,0,0,0,0,0.1,NA,10/20/21 15:10,Weekday
10/20/21,15:20:00,0,3.6,0,0,0,0,0,0,NA,10/20/21 15:20,Weekday
10/20/21,15:30:00,0,0,0,0,0,0,0,0,NA,10/20/21 15:30,Weekday
