subjectid,year,day,n_onset,onset_mean,sd_onset,sem_onset,n_offset,offset_mean,sd_offset,sem_offset,n_midsleep,midsleep_mean,sd_midsleep,sem_midsleep,n_duration_hr,duration_hr_mean,sd_duration_hr,sem_duration_hr,n_efficiency,efficiency_mean,sd_efficiency,sem_efficiency
28,2020,Weekday,36,25.76203704,1.299777827,0.216629638,36,9.218055556,1.308751829,0.218125305,36,5.490046296,1.097057427,0.182842904,36,7.456018518,1.41080385,0.235133975,36,83.62111111,5.43216809,0.905361348
28,2020,Weekend,14,27.14880952,1.633522546,0.436577264,14,10.33452381,2.080869972,0.556135893,14,6.741666667,1.648176278,0.440493639,14,7.185714286,1.769432488,0.472900724,14,82.24642857,6.897210815,1.843357128
29,2020,Weekday,35,26.9652381,3.809940068,0.643997412,35,9.818571429,3.492093711,0.590271572,35,7.077619048,4.335629469,0.732855138,35,6.853333333,2.203909924,0.37252877,35,81.35257143,13.20919473,2.232761426
29,2020,Weekend,17,27.79215686,2.174122729,0.527302215,17,9.750980392,2.79381429,0.677599495,17,6.771568627,2.311510785,0.560623713,17,5.958823529,1.921480528,0.466027481,17,82.91470588,7.152437624,1.73472093
33,2020,Weekday,26,24.95384615,6.176254362,1.211263135,26,13.6525641,6.234006545,1.22258927,26,11.45705128,6.486356062,1.272079082,26,6.237179487,1.991645371,0.390593793,26,82.23884615,6.867802168,1.346886818
33,2020,Weekend,12,28.91805556,4.333732256,1.251040742,12,11.68333333,5.289698393,1.527004396,12,8.300694444,4.738981716,1.368026185,12,6.765277778,1.921587338,0.554714483,12,80.97583333,10.72588242,3.096295553
34,2020,Weekday,27,24.82283951,1.31104079,0.252309918,27,8.099382716,1.298523829,0.249901027,27,4.461111111,1.095108588,0.210753746,27,7.27654321,1.418778662,0.273044081,27,76.78888889,6.313382205,1.215010972
34,2020,Weekend,12,26.24722222,1.929159985,0.556900518,12,9.466666667,1.857227215,0.536135316,12,5.856944444,1.564895974,0.451746556,12,7.219444444,2.132206536,0.615515009,12,79.22083333,7.446483561,2.149614644
35,2020,Weekday,27,23.85987654,1.306658321,0.251466511,27,11.32160494,1.144223833,0.220205979,27,5.590740741,1.116246413,0.214821722,27,11.4617284,1.024296869,0.197126024,27,87.29851852,3.406293614,0.655541512
35,2020,Weekend,13,24.60512821,1.172848397,0.325289618,13,11.9525641,1.006342069,0.279109071,13,6.278846154,0.991121555,0.274887661,13,11.42435897,0.788593903,0.218716596,13,85.99769231,3.123972241,0.866434008
36,2020,Weekday,29,25.31264368,0.988521976,0.183563923,29,9.36954023,1.361379647,0.252801854,29,5.341091954,0.963672835,0.178949553,29,8.056896552,1.395134098,0.259069898,29,79.2,6.931850918,1.2872124
36,2020,Weekend,12,25.58194444,0.553385281,0.159748571,12,9.148611111,2.583244948,0.745718583,12,5.365277778,1.474727476,0.425717153,12,7.566666666,2.293358879,0.662035683,12,79.13083333,6.590362741,1.902473851
41,2020,Weekday,36,21.73194444,0.877318923,0.14621982,36,5.267592593,0.836166085,0.139361014,36,1.499768519,0.725259904,0.120876651,36,7.535648148,0.913080889,0.152180148,36,0,0,0
41,2020,Weekend,13,22.47692308,1.685127461,0.467370267,13,5.807692308,1.570055663,0.435455092,13,3.95,5.952334782,1.650880636,13,7.407692308,2.035331616,0.564499423,13,0,0,0
42,2020,Weekday,28,22.49880952,0.478335776,0.090396965,28,7.658928571,0.619662097,0.117105129,28,3.078869048,0.411439322,0.077754723,28,9.160119048,0.740569508,0.139954482,28,90.30035714,3.816012542,0.721158585
42,2020,Weekend,12,22.64583333,0.63536854,0.183415099,12,8.016666667,0.481527452,0.139005002,12,3.289583333,0.474290073,0.136915751,12,9.454166667,0.810976622,0.234108785,12,89.87583333,4.999799011,1.443317652
50,2021,Weekday,19,24.10614035,1.080740637,0.247938906,19,8.316666667,0.602130989,0.138138323,19,4.211403509,0.724735001,0.166265612,19,8.210526316,0.979877961,0.224799422,19,80.69842105,4.461137452,1.023455123
50,2021,Weekend,9,25.61111111,2.60959767,0.86986589,9,9.359259259,2.346408472,0.782136157,9,5.42962963,2.369888912,0.789962971,9,7.85925926,1.819399915,0.606466638,9,78.16444444,12.50339665,4.167798883
51,2021,Weekday,19,23.31929825,2.333063894,0.535241565,19,6.927192982,1.429368013,0.327919512,19,3.123245614,1.706020519,0.391387949,19,7.607894737,1.824975633,0.418678124,19,84.82473684,4.401795553,1.009841157
51,2021,Weekend,9,23.38888889,1.072833735,0.357611245,9,6.844444444,0.623887899,0.207962633,9,3.061111111,0.70993691,0.236645637,9,7.566666667,0.699553429,0.233184476,9,80.25666667,5.76259924,1.920866413
53,2021,Weekday,15,27.94111111,1.694937217,0.437630908,15,11.20888889,1.727380652,0.446007766,15,7.575,1.414497639,0.36522172,15,7.267777778,1.926161438,0.497332745,15,86.96866667,4.141805794,1.069409658
53,2021,Weekend,7,29.14047619,1.24769629,0.471584871,7,11.78571429,1.478689002,0.558891909,7,8.463095238,1.284152491,0.485364019,7,6.645238095,0.94358037,0.356639857,7,86.1,4.667890316,1.764296703
54,2021,Weekday,18,25.89444444,1.081484093,0.254908245,18,8.615740741,0.755166783,0.177994518,18,5.255092593,0.668588766,0.157587884,18,6.721296296,1.300663551,0.306569339,18,87.94722222,8.894767005,2.096516689
54,2021,Weekend,9,25.34814815,1.179349057,0.393116352,9,9.151851852,1.448069703,0.482689901,9,5.194444444,1.179865812,0.393288604,9,7.914814815,1.461792194,0.487264065,9,84.78555556,7.730509542,2.576836514
56,2021,Weekday,19,24.55,1.201824744,0.275717506,19,7.765789474,1.190049715,0.273016129,19,4.157894737,0.990130594,0.227151537,19,7.215789474,1.341554213,0.307773644,19,84.45631579,7.443157343,1.707577404
56,2021,Weekend,7,25.56904762,0.981326982,0.370906736,7,9.178571429,1.229713693,0.464788088,7,5.302380952,0.666418605,0.251882557,7,7.752380952,2.009731615,0.759607151,7,84.96714286,10.13094717,3.829138107
58,2021,Weekday,18,23.81759259,2.631405799,0.620228295,18,6.003703704,2.621689045,0.617938034,18,4.243981481,5.373064939,1.266443551,18,6.186111111,1.939133035,0.457058039,18,71.09666667,7.899574821,1.861947641
58,2021,Weekend,6,23.85555556,3.081353719,1.257957388,6,7.655555556,2.834346224,1.157117001,6,3.755555556,2.895401846,1.182042854,6,7.966666667,1.120912327,0.457610541,6,70.78333333,11.46550595,4.680773203
59,2021,Weekday,18,25.00648148,0.7018216,0.165420938,18,8.82962963,0.693681934,0.1635024,18,4.918055556,0.533878781,0.125836435,18,7.823148148,0.898548919,0.211790011,18,85.80777778,3.699024602,0.87186846
59,2021,Weekend,9,24.76666667,1.034676546,0.344892182,9,9.42962963,0.811453505,0.270484502,9,5.098148148,0.678434905,0.226144968,9,8.662962963,1.271585235,0.423861745,9,85.71,3.900695451,1.300231817
60,2021,Weekday,13,26.45897436,0.99075858,0.274786989,13,9.738461538,1.995694261,0.553505999,13,6.098717949,1.133955335,0.314502623,13,7.279487179,2.187550568,0.606717365,13,86.63230769,4.753111531,1.31827595
60,2021,Weekend,6,26.45833333,1.790802117,0.731091903,6,10.12222222,1.128945755,0.460890175,6,6.290277778,0.999436184,0.408018113,6,7.663888888,2.228786831,0.909898413,6,84.81666667,4.830704572,1.972126883
61,2021,Weekday,14,24.39047619,1.072115775,0.286534993,14,8.616666667,0.909963839,0.243198066,14,4.503571429,0.611881244,0.163532141,14,8.226190476,1.567589939,0.418956034,14,85.75714286,4.374475667,1.1691278
61,2021,Weekend,7,24.73333333,1.274282659,0.481633574,7,8.973809524,1.763489206,0.666536268,7,4.782142857,1.500049602,0.566965457,7,8.383333334,1.237043968,0.467558671,7,83.57,3.925022293,1.483518982
