Date,Time,Off.Wrist.Status,Activity,Marker,White.Light,Red.Light,Green.Light,Blue.Light,Sleep.Wake,Interval.Status,newtime,day
10/27/21,10:00:00,1,NA,NA,NA,NA,NA,NA,NA,NA,10/27/21 10:00,Weekday
10/27/21,10:10:00,1,NA,NA,NA,NA,NA,NA,NA,NA,10/27/21 10:10,Weekday
10/27/21,10:20:00,1,NA,NA,NA,NA,NA,NA,NA,NA,10/27/21 10:20,Weekday
10/27/21,10:30:00,1,NA,NA,NA,NA,NA,NA,NA,NA,10/27/21 10:30,Weekday
10/27/21,10:40:00,1,NA,NA,NA,NA,NA,NA,NA,NA,10/27/21 10:40,Weekday
10/27/21,10:50:00,1,NA,NA,NA,NA,NA,NA,NA,NA,10/27/21 10:50,Weekday
10/27/21,11:00:00,1,NA,NA,NA,NA,NA,NA,NA,NA,10/27/21 11:00,Weekday
10/27/21,11:10:00,1,NA,NA,NA,NA,NA,NA,NA,NA,10/27/21 11:10,Weekday
10/27/21,11:20:00,1,NA,NA,NA,NA,NA,NA,NA,NA,10/27/21 11:20,Weekday
10/27/21,11:30:00,1,NA,NA,NA,NA,NA,NA,NA,NA,10/27/21 11:30,Weekday
10/27/21,11:40:00,0.1,368.8888889,0,0,84.11888889,495.2,70.68888889,1,NA,10/27/21 11:40,Weekday
10/27/21,11:50:00,0,208,0,71.538,109.29,195.839,111.192,1,NA,10/27/21 11:50,Weekday
10/27/21,12:00:00,0,423.3,0,0.156,1.966,2.9226,0.06552,1,NA,10/27/21 12:00,Weekday
10/27/21,12:10:00,0,198,0,0.164,1.5419,0.15266,0.06889,1,NA,10/27/21 12:10,Weekday
10/27/21,12:20:00,0,279.6,0,0.508,3.0059,0.5675,0.24029,1,NA,10/27/21 12:20,Weekday
10/27/21,12:30:00,0,394.4,0,0.365,71.6429,205.98514,56.73916,1,NA,10/27/21 12:30,Weekday
10/27/21,12:40:00,0,305.7,0,0.409,2.6819,0.46844,0.22118,1,NA,10/27/21 12:40,Weekday
10/27/21,12:50:00,0,369.5,0,11.242,13.918,14.5806,8.5633,1,NA,10/27/21 12:50,Weekday
10/27/21,13:00:00,0,725,0,137.966,191.7,208.13,121.98,1,NA,10/27/21 13:00,Weekday
10/27/21,13:10:00,0,900.2,0,130.155,150.55,251.68,103.56,1,NA,10/27/21 13:10,Weekday
10/27/21,13:20:00,0,778.3,0,176.839,230.05,257.08,153.17,1,NA,10/27/21 13:20,Weekday
10/27/21,13:30:00,0,462.3,0,71.614,74.38,89.4,46.86,1,NA,10/27/21 13:30,Weekday
10/27/21,13:40:00,0,76.8,0,50.846,53.99,46.89,31.15,0.9,NA,10/27/21 13:40,Weekday
10/27/21,13:50:00,0,546.7,0,43.173,98.23,51.02,40.75,1,NA,10/27/21 13:50,Weekday
10/27/21,14:00:00,0,498.7,0,14.013,62.14,15.394,13.843,1,NA,10/27/21 14:00,Weekday
